epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon,variant
3,SEA_A__s112__concept__severe,7,hellinger,53.74,57000,20,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,7,hellinger,32.78,57000,25,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,7,hellinger,31.1,57000,9,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,7,hellinger,32.6,57000,11,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,7,hellinger,31.88,57000,25,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,7,hellinger,53.1,57000,12,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,7,hellinger,54.14,57000,6,4,0.1,alarm_persistence
0,RBF_I__s112__splice__severe,17,hellinger,32.160000000000004,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,17,hellinger,53.72,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,17,hellinger,29.62,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,17,hellinger,52.96,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,17,hellinger,35.04,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,17,hellinger,33.54,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,17,hellinger,31.86,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,17,hellinger,54.34,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,17,hellinger,53.56,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,17,hellinger,34.62,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,17,hellinger,53.46,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,17,hellinger,31.86,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,17,hellinger,53.6,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,17,hellinger,53.72,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,17,hellinger,31.96,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,17,hellinger,54.16,57000,26,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,17,hellinger,54.22,57000,16,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,17,hellinger,31.32,57000,23,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,17,hellinger,54.18,57000,31,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,17,hellinger,53.8,57000,34,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,17,hellinger,32.6,57000,19,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,17,hellinger,54.1,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,17,hellinger,32.980000000000004,57000,0,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,17,hellinger,32.34,57000,12,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,17,hellinger,32.42,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,17,hellinger,53.36,57000,16,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,17,hellinger,29.58,57000,19,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,17,hellinger,54.14,57000,23,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,17,hellinger,54.18,57000,24,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,17,hellinger,54.3,57000,30,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,17,hellinger,31.12,57000,10,4,0.1,alarm_persistence
2,RBF_I__s112__concept__severe,17,hellinger,33.26,57000,1,4,0.1,alarm_persistence
2,RBF_I__s112__clean__none,17,hellinger,32.6,57000,18,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,17,hellinger,53.84,57000,1,4,0.1,alarm_persistence
2,RBF_I__s112__concept__moderate,17,hellinger,33.76,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,17,hellinger,54.14,57000,25,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,17,hellinger,53.98,57000,24,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,17,hellinger,32.44,57000,14,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,17,hellinger,53.6,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,17,hellinger,53.76,57000,2,4,0.1,alarm_persistence
2,RBF_I__s112__instance__severe,17,hellinger,31.46,57000,0,4,0.1,alarm_persistence
2,RBF_I__s112__instance__moderate,17,hellinger,31.24,57000,20,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,17,hellinger,53.5,57000,1,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,17,hellinger,53.68,57000,3,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,17,hellinger,34.26,57000,1,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,17,hellinger,33.62,57000,15,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,17,hellinger,31.86,57000,14,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,17,hellinger,29.3,57000,17,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,17,hellinger,31.0,57000,18,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,17,hellinger,35.18,57000,0,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,17,hellinger,32.34,57000,12,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,17,hellinger,53.54,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,17,hellinger,53.76,57000,1,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,17,hellinger,54.42,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,17,hellinger,53.56,57000,0,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,17,hellinger,54.32,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,27,hellinger,53.08,57000,3,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,27,hellinger,53.48,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,27,hellinger,30.9,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,27,hellinger,32.04,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,27,hellinger,53.88,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,27,hellinger,32.44,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,27,hellinger,53.74,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,27,hellinger,35.12,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,27,hellinger,54.06,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,27,hellinger,32.1,57000,4,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,27,hellinger,53.1,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,27,hellinger,53.56,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,27,hellinger,32.980000000000004,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__splice__severe,27,hellinger,34.32,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,27,hellinger,54.26,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,27,hellinger,54.34,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,27,hellinger,53.66,57000,1,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,27,hellinger,31.74,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,27,hellinger,54.16,57000,22,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,27,hellinger,54.14,57000,23,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,27,hellinger,32.78,57000,17,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,27,hellinger,32.62,57000,0,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,27,hellinger,30.72,57000,16,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,27,hellinger,32.12,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,27,hellinger,54.06,57000,23,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,27,hellinger,53.82,57000,16,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,27,hellinger,32.28,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,27,hellinger,32.660000000000004,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,27,hellinger,54.14,57000,25,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,27,hellinger,53.5,57000,14,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,27,hellinger,30.98,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,27,hellinger,53.98,57000,28,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,27,hellinger,32.5,57000,22,4,0.1,alarm_persistence
2,RBF_I__s112__concept__moderate,27,hellinger,34.84,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,27,hellinger,53.7,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,27,hellinger,53.92,57000,0,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,27,hellinger,53.8,57000,3,4,0.1,alarm_persistence
2,RBF_I__s112__instance__moderate,27,hellinger,34.42,57000,0,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,27,hellinger,54.18,57000,32,4,0.1,alarm_persistence
2,RBF_I__s112__instance__severe,27,hellinger,30.28,57000,17,4,0.1,alarm_persistence
2,RBF_I__s112__clean__none,27,hellinger,32.7,57000,29,4,0.1,alarm_persistence
2,RBF_I__s112__concept__severe,27,hellinger,30.8,57000,9,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,27,hellinger,32.62,57000,26,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,27,hellinger,31.52,57000,7,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,27,hellinger,32.44,57000,25,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,27,hellinger,53.56,57000,0,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,27,hellinger,32.08,57000,8,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,27,hellinger,53.96,57000,6,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,27,hellinger,54.02,57000,5,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,27,hellinger,32.4,57000,4,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,27,hellinger,54.06,57000,30,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,27,hellinger,30.06,57000,33,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,27,hellinger,54.2,57000,23,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,27,hellinger,54.36,57000,16,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,27,hellinger,53.76,57000,32,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,27,hellinger,32.28,57000,12,4,0.1,alarm_persistence
